"","Mock1","Mock2","Mock3","Control1","Control2","Control3","GW-Treated1","GW-Treated2","GW-Treated3"
"PABPC1L",34.660736730102,31.9002416975611,44.7929174774096,25.3979191740721,35.6223070253941,27.0111966763209,87.9679654333868,89.1153327575745,73.5497897532921
"PABPC4",155.840515527872,143.65056864224,166.118112597435,138.247051936706,154.812061055128,139.874196842786,122.396436851987,119.941823056612,131.862740196609
"PABPC4L",1.06239806069278,0.994810032148477,0.53009369795751,0.411858148768737,1.13908539906783,1.31405821668588,0.143153727312265,0.137311760797495,1.0680027553721
"PABPN1",59.2950917624159,56.5052098260335,65.8641419712206,53.4042732903463,65.1349741830607,51.8322963248319,58.2635670160918,63.5066893688416,50.7657309720206
"PACC1",12.1511778191737,9.74913831505507,11.7945847795546,9.33545137209138,9.88933232827074,11.4615077788713,10.808106412076,9.88644677741967,9.96802571680629
"PACRGL",10.2919812129613,8.5553662764769,10.2043036856821,9.06087927291222,11.0801943363871,8.90639457975985,10.3070683664831,10.9849408637996,9.6832249820404
"PACS1",122.972575525189,138.344915137448,131.860807366931,122.184584134725,107.125804121425,111.621945184039,110.872561803349,94.3331796678794,112.923491334677
"PACS2",78.1526573397127,88.140168848355,100.519017475193,78.1157622164705,84.7583090124565,76.5803927390827,87.1090430695132,92.2048473755182,97.4018512899357
"PACSIN2",179.810871772253,172.433738905736,189.972329005523,156.917954680889,151.498358076022,158.417018344909,181.876810550233,178.779912558339,166.181228735899
"PACSIN3",65.0718812174329,62.0761460060649,69.1109658712103,54.9144198358317,59.5431004058186,57.1615324258358,53.1816096965064,49.4322338870984,51.4065326252439
"PADI2",13.2799757586598,12.5346064050708,11.7945847795546,14.0718200829319,9.31978962873682,11.4615077788713,7.87345500217457,10.0924144186159,10.8936281047954
"PAF1",70.9150705512432,66.1880274722786,87.3991984507444,73.6539656048092,75.5938492108653,82.5666579484295,84.3891222505802,70.5095891695139,73.976990855441
"PAFAH1B1",196.410841470578,191.733053529416,195.008219136119,191.514039177463,200.220147190696,201.780939495543,185.956691778632,181.114212491896,182.842071719704
"PAFAH1B2",121.37897843415,123.489085324031,108.801731505779,110.721198993996,117.170466276841,116.002139239659,96.4140353448105,95.6376413954556,98.185053310542
"PAFAH1B3",35.1919357604484,36.2110851702045,37.3716057060044,34.2528693726,40.1268720126169,34.0195071653122,27.3423619166426,26.0892345515241,25.9880670473878
"PAFAH2",56.7718963682705,56.6378511636533,47.4433859671971,52.4432709432192,44.0618943003058,45.9920375840058,68.2843279279504,59.593304186113,58.2417502596253
"PAG1",100.529416493054,94.3743117164855,87.3329367384997,100.287459225188,93.7156623778536,106.803731722858,194.188031099087,163.538307109817,154.575598794189
"PAH",14.2759739405593,15.651677839136,18.2882325795341,13.5913189093683,20.0375477017842,7.22732019177234,9.09026168432883,8.71929681064096,9.82562534942334
"PAICS",139.240545829548,146.966602082735,135.438939828144,125.342163275286,171.639458995903,126.514604973146,89.9005407521024,97.7659736878168,96.4762489019466
"PAIP1",72.7078672786622,79.1868785590187,67.3881613528484,80.9301262330569,72.4354760589045,74.9013183510952,76.9451284303424,76.20802724261,78.3914022443123
"PAIP1P2",1.92559648500567,1.59169605143756,0.662617122446887,1.78471864466453,1.5015216624076,1.97108732502882,1.07365295484199,1.51042936877245,2.13600551074421
"PAIP2",43.0271214580576,42.1136246942855,43.7327300814945,40.4993846289258,46.2882884893929,38.3266979866715,40.7988122839955,35.3577784053551,40.3705041530655
"PAIP2B",3.78479309121803,5.76989818646116,5.83103067753261,3.98129543809779,7.87004457537776,4.52620052414025,3.29253572818209,3.57010578073488,5.55361432793493
"PAK1",86.7182417040483,99.2157205396081,91.9712565956279,99.1891708284709,89.2628739996793,96.3642692236312,101.925453846333,107.927043986831,99.6090569843714
"PAK1IP1",21.6463604866154,18.7687492732013,17.2943068958638,20.7988365128212,21.176633100852,19.4188603132469,15.9616405953175,15.8595083721107,18.5120477597831
"PAK2",177.154876620521,177.872033748148,160.088296783168,163.09582691242,159.161296215205,176.44881720721,162.980518545014,138.547566644673,158.705209448294
"PAK3",3.31999393966494,2.71914742120584,4.37327300814945,3.70672333891864,3.8314690695918,5.84025874082613,1.78942159140331,0.755214684386225,0.854402204297682
"PAK4",85.3902441281823,95.8333664303032,99.9889237772352,88.3435729108942,92.5765769787858,88.9179393290779,84.5322759778925,91.175009169537,92.9162397173729
"PAK5",1.85919660621237,0.729527356908883,0.53009369795751,2.12793376863848,1.19086200811637,1.38706145094621,0.787345500217457,0.549247043189982,0.569601469531788
"PAK6",2.25759587897216,1.59169605143756,2.51794506529817,1.71607561986974,2.17461758003859,1.24105498242555,1.35996040946652,1.02983820598122,1.49520385752094
"PALB2",20.7831620623025,17.7739392410528,21.9988884652367,17.4353282978765,22.5746015451625,20.7329185299328,20.1846755510294,19.2923023920481,18.0136464739428
"PALLD",112.879793948608,111.352402931819,125.565944703685,108.455979175768,128.509543658471,165.571335302421,54.3984163786607,81.9751211961048,45.8529182973089
"PALM",58.6974928532762,68.9071748934845,70.038629842636,67.5447363980729,58.1969085705566,62.7097782296206,97.9171494815892,122.138811229372,101.104260841892
"PALM3",2.65599515173195,2.52018541477614,2.12037479183004,2.26521981822806,2.89949010671812,1.31405821668588,0.28630745462453,0.137311760797495,0.284800734765894
"PALMD",6.17518872777679,6.69838754979974,7.023741497937,4.53043963645611,9.57867267397951,4.16118435283862,2.07572904602784,7.20886744186851,1.63760422490389
"PALS1",66.0678793993323,58.8927539031898,59.5030175957305,68.162523621226,62.4425905125367,73.6602633686696,66.2085988819226,48.8829868439084,53.0441368501478
"PALS2",26.891950911286,19.1666732860607,22.131411889726,22.6521981822806,26.9756133142882,20.1488926558502,20.1846755510294,20.5967641196243,16.3760422490389
"PAM",343.154573603768,362.110851702045,307.984438513313,326.32893987443,264.112482756592,306.686587127632,302.77013326544,286.020397741183,267.855091047323
"PAM16",4.24959224277113,6.49942554337005,8.61402259180953,3.77536636371343,5.07410768675671,4.23418758709895,5.58299536517833,6.17902923588729,6.33681634854114
"PAMR1",12.8815764859,13.728378443649,15.5052406652572,19.3573329921307,8.28425744776606,20.3679023586311,26.483439552769,14.2117672425408,23.3536602508033
"PAN2",21.2479612138556,23.6101580963238,27.8299191427693,22.5835551574858,26.1471875695116,20.2948991243708,23.9066724611483,27.3250403987016,22.1432571280483
"PAN3",39.9063271547726,39.9913632923688,37.3716057060044,39.7443113561832,44.5796603907911,44.5319728987993,41.7293115115252,40.5069694352612,41.3673067247461
"PAN3-AS1",1.12879793948608,1.12745136976827,1.85532794285128,1.09828839671663,1.34619183526199,1.46006468520653,1.00207609118585,1.51042936877245,1.49520385752094
"PANCR",1.06239806069278,1.65801672024746,1.78906623060659,2.19657679343327,0.931978962873682,1.89808409076849,2.4336133643085,2.12833229236118,1.99360514336126
"PANK1",20.451162668336,19.4319559613002,17.6918771693319,17.4353282978765,23.1441442446964,18.542821502123,14.4585264585388,15.4475730897182,13.385634533997
"PANK2",35.7895346695881,36.542688514254,35.6488011876425,41.4603869760529,39.0395632225976,39.4947497348367,40.8703891476517,34.2592843189751,39.5161019487678
"PANK3",160.355707285817,141.528307240323,129.011553740409,139.413983358218,164.028297465768,146.152474989174,123.899550988765,118.088114285846,110.787485823933
"PANK4",23.9703562443809,21.6205380320269,27.2998254448117,21.8284818847431,24.4385594709099,20.1488926558502,22.0456740060888,22.3818170099918,20.8616538216017
"PANX1",37.1175322454541,38.7975912537906,42.0761872753773,42.4900323479747,42.9228089012379,43.9479470247167,39.7251593291535,38.104013621305,45.0697162767027
"PANX2",6.70638775812318,5.30565350479188,8.34897574283078,6.72701642988938,7.19694865774677,5.03722316396254,12.7406817307916,11.8774673089834,12.7448328807738
"PAOX",8.03438533398916,8.22376293242741,7.81888204487327,8.5803780993487,6.57562934916431,7.81134606585495,9.87760718454628,8.65064093024221,9.96802571680629
"PAPLN",22.5759587897216,22.217424051316,21.8663650407473,15.993824777186,14.4974505335906,15.2576759604083,20.9720210512468,25.5399875083341,23.3536602508033
"PAPLN-AS1",0.929598303106184,1.12745136976827,1.1927108204044,1.57878957028016,1.03553218097076,0.803035576863594,1.35996040946652,1.4417734883737,1.56640404121242
"PAPOLA",240.301161352948,222.704805863639,209.519534117706,218.284818847431,229.888144175508,219.520725420802,218.309434151204,219.2868819936,212.674948686431
"PAPOLA-DT",1.06239806069278,1.06113070095838,0.53009369795751,0.892359322332264,1.39796844431052,0.511022639822287,0.429461181936795,0.343279401993739,0.996802571680629
"PAPOLG",16.3343701831515,16.7128085400944,14.4450532693421,20.1124062648733,19.83044126559,19.0538441419453,15.6037562770369,16.8206906976932,18.5120477597831
